id,text
MissionExecutionException.java,edu nd dronolog servic extens missionplan mission execut except except serial version uid mission execut except messag messag
ConnectionRequestMessage.java,edu nd dronolog gstation connector messag java io serializ connect request messag abstract uav messag object serializ serial version uid messagetyp connect request messag groundstat id messagetyp groundstat id groundstat id overrid set type type type type new gc connect dronolog send connect request messag michael vierhaus
IFlightRouteplanningRemoteService.java,edu nd dronolog servic core remot java rmi remot except java util collect edu nd dronolog servic core info flight rout categori info edu nd dronolog servic core info flight rout info flight routeplan remot servic remot servic file transmit remot servic flight rout info collect flight rout categori info get flight path categori remot except extend file transmit remot servic provid method retriev save model server michael vierhaus
IStartstrategy.java,edu nd dronolog core vehicl uav startstrategi
UAVRegistrationPersistenceProvider.java,edu nd dronolog servic core persist edu nd dronolog servic core item iuav registr edu nd dronolog servic core persist intern uav registr x stream persistor uav registr persist provid abstract item persist provid iuav registr uav registr persist provid overrid init persistor persistor uav registr x stream persistor overrid init persistor type init persistor uav registr persist provid get instanc uav registr persist provid provid implement iuav registr br detail see abstract item persist provid michael vierhaus
ImageWaypoints.java,edu nd dronolog servic extens areamap intern java util collect java util java util vector imag waypoint imag waypoint imag waypoint imag waypoint imag waypoint vector imag waypoint add imag waypoint bank node imag waypoint add bank node revers collect revers imag waypoint imag waypoint get collect unmodifi imag waypoint imag waypoint get entri imag waypoint get entri set index imag waypoint entri imag waypoint set index entri size imag waypoint size
UAVAcknowledgeMessage.java,edu nd dronolog gstation connector messag java io serializ uav acknowledg messag abstract uav messag object serializ serial version uid messagetyp uav acknowledg messag messagetyp groundstationid uavid messagetyp groundstationid uavid
IAction.java,edu nd dronolog core collisionavoid strategi onionbackend edu nd dronolog core collisionavoid drone snapshot action appli action drone snapshot snapshot
AFDragLayout.java,edu nd dronolog ui vaadin activeflight java rmi remot except java util array java util collect java util iter java util com vaadin event transfer com vaadin event dd drag drop event com vaadin event dd drop handler com vaadin event dd drop target com vaadin event dd target detail com vaadin event dd acceptcriteria accept criterion com vaadin event dd acceptcriteria com vaadin event dd acceptcriteria sourc target com vaadin share ui dd horizont drop locat com vaadin ui abstract order layout com vaadin ui compon com vaadin ui custom compon com vaadin ui drag drop wrapper com vaadin ui vertic layout edu nd dronolog servic core info flight info edu nd dronolog servic core info flight plan info edu nd dronolog servic core info flight rout info edu nd dronolog servic core remot flight manag remot servic edu nd dronolog servic core remot flight routeplan remot servic edu nd dronolog servic core util dronolog servic except edu nd dronolog ui vaadin connector base servic provid edu nd dronolog ui vaadin flightrout fr info box edu nd dronolog ui vaadin start ui af drag layout vertic layout serial version uid sortabl layout layout sortabl layout flight manag remot servic flight rout servic flight routeplan remot servic flight info servic base servic provid provid ui get provid ua vid box id af drag layout ua vid ua vid ua vid layout set size undefin compon compon creat compon layout add new compon compon add compon layout compon creat compon flight info flight rout info collect flight rout info item flight rout servic flight manag remot servic provid get remot manag get servic flight manag remot servic flight info servic flight routeplan remot servic provid get remot manag get servic flight routeplan remot servic flight rout info flight rout servic get flight info ua vid item flight info servic get item remot except dronolog servic except e e print stack trace except e e print stack trace compon compon array flight plan info flight flight rout info get pend flight flight rout info info item flight flight get length info get length flight get flight get substr flight get length info get length flight equal info get fr info box box fr info box info box set id string box id box id compon add box compon sortabl layout get sortabl layout layout add new compon compon compon layout add new compon compon overrid remov compon compon compon layout remov compon compon overrid compon get compon index layout get compon index overrid get compon count layout get compon count overrid get compon index compon compon layout get compon index compon sortabl layout custom compon serial version uid abstract order layout layout drop handler drop handler sortabl layout layout vertic layout drop handler reorder layout drop handler layout drag drop wrapper pane drag drop wrapper layout set composit root pane vertic layout get vertic layout vertic layout layout overrid get compon count layout get compon count get compon index compon compon suppress warn iter compon compon iter layout get compon iter wrap compon next index compon iter next next wrap compon compon iter next fr info box next get content get equal fr info box compon get compon get id equal next get content get id index index compon get compon index wrap compon wrapper wrap compon layout get compon index wrapper get content add new compon compon compon wrap compon wrapper wrap compon compon drop handler wrapper set size undefin compon set width wrapper set width layout add compon wrapper remov compon compon compon suppress warn iter compon compon iter layout get compon iter wrap compon next cont cont compon iter next next wrap compon compon iter next fr info box next get content get equal fr info box compon get compon get id equal next get content get id layout remov compon next cont wrap compon drag drop wrapper serial version uid drop handler drop handler compon content wrap compon compon content drop handler drop handler content content content drop handler drop handler set drag start mode drag start mode wrapper overrid drop handler get drop handler drop handler compon get content content reorder layout drop handler drop handler serial version uid abstract order layout layout reorder layout drop handler abstract order layout layout layout layout overrid accept criterion get accept criterion sourc target get overrid drop drag drop event drop event transfer transfer drop event get transfer compon sourc compon transfer get sourc compon sourc compon wrap compon target detail drop target data drop event get target detail drop target target drop target data get target sourc target index suppress warn iter compon compon iter layout get compon iter compon next next target compon iter next next compon iter next next sourc compon index sourc target next next target drop target data get data equal horizont drop locat center string sourc target index drop target data get data equal horizont drop locat left string index index index layout remov compon sourc compon layout add compon sourc compon index drag drop vertic layout fr info box store assign rout ui patrick falvey arbitrari valu compon id doe overlap box ds af assign rout compon pend plan uav convert plan fr info box import compar rout compon id rout same logic determin posit drag drop object
GroundstationConnector.java,edu nd dronolog gstation connector java io buffer reader java io buffer writer java io input stream reader java io output stream writer java net socket java util map java util concurr concurr hash map java util concurr executor servic java util concurr executor edu nd dronolog core iuav properti updat notifi edu nd dronolog core except drone except edu nd dronolog core fleet runtim drone type edu nd dronolog core monitor dronolog monitor manag edu nd dronolog core monitor messag marshal edu nd dronolog core statu dronolog listen manag edu nd dronolog core vehicl drone command handler edu nd dronolog core vehicl command connect respons command edu nd dronolog core vehicl command drone command edu nd dronolog gstation connector connect incom groundstat connect server edu nd dronolog gstation connector dispatch dispatch queue manag edu nd dronolog gstation connector dispatch read dispatch edu nd dronolog gstation connector dispatch write dispatch edu nd dronolog gstation connector messag abstract uav messag edu nd dronolog gstation connector messag connect request messag edu nd dronolog gstation connector messag uav messag factori edu nd dronolog gstation connector servic connector drone connector servic edu nd dronolog servic core util dronolog servic except edu nd dronolog util name thread factori net mv log logger net mv log logger provid groundstat connector drone command handler runnabl logger logger logger provid get logger groundstat connector executor servic executor executor new fix thread pool name thread factori socket socket map iuav properti updat notifi regist listen concurr hash map read dispatch read dispatch write dispatch write dispatch groundstationid dispatch queue manag dispatch queue manag connect incom groundstat connect server server groundstat connector incom groundstat connect server server socket socket connect server server socket socket overrid send command drone command cmd drone except logger trace groundstationid cmd string dispatch queue manag send cmd dronolog monitor manag get instanc publish messag marshal creat messag cmd overrid set statu callback notifi id iuav properti updat notifi listen drone except regist listen contain key id drone except id regist listen id listen dispatch queue manag creat dispatch thread id listen tear read dispatch tear except e logger error e write dispatch tear except e logger error e dispatch queue manag tear except e logger error e dronolog listen manag get instanc notifi gc shutdown groundstationid overrid get handler id groundstationid regist safeti valid iuav safeti valid valid dispatch queue manag regist safeti valid valid overrid run logger info buffer reader reader reader buffer reader input stream reader socket get input stream line reader read line abstract uav messag msg uav messag factori creat line msg connect request messag logger hw fatal line connect success drone connector servic get instanc regist connect connect request messag msg groundstationid msg get gc id setup connect connect success ground station except ex logger hw fatal ex get messag buffer writer writer buffer writer output stream writer socket get output stream connect respons command ack command connect respons command groundstationid connect success writer write ack command json string writer write system line separ writer flush except e e print stack trace logger hw fatal e get messag setup connect dispatch queue manag dispatch queue manag groundstationid read dispatch read dispatch socket dispatch queue manag write dispatch write dispatch socket dispatch queue manag get outgo command queue executor submit read dispatch executor submit write dispatch runtim drone type get instanc regist command handler connect throwabl e logger hw fatal e get messag schedul reconnect establish new handl establish connect dronolog multipl gc br creat new read dispatch write dispatch thread connect new gc establish michael vierhaus socket commun python ground station todo autogener method stub
DroneMonitoringServiceRemoteFacade.java,edu nd dronolog monitor servic java rmi remot except edu nd dronolog core monitor artifact identifi edu nd dronolog monitor remot monitor messag handler edu nd dronolog servic remot abstract remot facad net mv log logger net mv log logger provid drone monitor servic remot facad abstract remot facad drone monitor remot servic serial version uid logger logger logger provid get logger drone monitor servic remot facad drone monitor servic remot facad instanc drone monitor servic remot facad remot except drone monitor servic get instanc drone monitor remot servic get instanc remot except instanc drone monitor servic remot facad instanc instanc drone monitor servic remot facad remot except e logger error e instanc overrid regist monitor messag handler remot monitor messag handler handler remot except drone monitor servic get instanc regist monitor messag handler handler overrid regist monitor messag handler remot monitor messag handler handler artifact identifi identifi remot except drone monitor servic get instanc regist monitor messag handler handler identifi overrid set monitor frequenc uavid frequenc remot except drone monitor servic get instanc set monitor frequenc uavid frequenc remot facad monitor ua vsbr allow regist remot monitor messag handler subscrib certain messag type topicsbr michael vierhaus
