ap,auc,dataset,path,type,name,query_index,lag_normalized_inverted
0.049662095,0.3914728682,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),0,0.2831050228
0.6689583333,0.850174216,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),1,0.831702544
0.032032032,0.4367816092,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),2,0.3287671233
1,1,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),3,1
0.485847742,0.7955465587,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),4,0.7871443625
0.8333333333,0.9942528736,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),5,0.9931506849
0.5833333333,0.9885057471,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),6,0.9863013699
0.1817686389,0.5192307692,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),7,0.4994731296
0.3832611833,0.7248062016,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),8,0.6757990868
0.7761986301,0.8765432099,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),9,0.8630136986
0.7066666667,0.9147286822,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),10,0.899543379
0.6428571429,0.9712643678,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),11,0.9657534247
1,1,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),12,1
0.7365079365,0.9581881533,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),13,0.9530332681
0.8670995671,0.9843205575,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),14,0.9823874755
1,1,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),15,1
1,1,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),16,1
0.9095238095,0.9895470383,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),17,0.988258317
1,1,WARC,0->1->2,HYBRID,(o (PCA) ((. (LSI NT) (0 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (0 1)) (. (LSI NT) (1 2)))))),18,1
0.0737014104,0.6976744186,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),0,0.6438356164
1,1,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),1,1
0.670846395,0.9268292683,WARC,1->0->2,HYBRID,(o (PCA) ((. (LSI NT) (1 2)) (x (PCA INDEPENDENT) ((. (LSI NT) (1 0)) (. (LSI NT) (0 2)))))),2,0.9178082192
